date,ZIP,confirmed cases,new_confirmed_cases,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,population,Population.Density,incomLev,cases_adjusted_by_pop,new_cases_adjusted_by_pop,ave_new6_9after,ave_new7_10after,ave_new8_11after
2020-07-01,Acton,25,1,104.51,47.38,105.97,-26.0,-9.0,-4.0,-37.0,-40.0,14.0,6522,166,2,0.003833180006133088,0.00015332720024532353,0.25,0.25,0.75
2020-07-02,Acton,25,0,111.16,46.93,111.07,-25.0,-3.0,-3.0,-36.0,-42.0,14.0,6522,166,2,0.003833180006133088,0.0,0.25,0.75,0.75
2020-07-06,Acton,29,4,96.69,47.33,101.87,-29.0,-11.0,-6.0,-40.0,-42.0,14.0,6522,166,2,0.0044464888071143824,0.0006133088009812941,0.75,0.75,0.75
2020-07-07,Acton,29,0,100.47,47.16,105.67,-29.0,-9.0,-3.0,-38.0,-42.0,15.0,6522,166,2,0.0044464888071143824,0.0,0.75,0.75,0.75
2020-07-08,Acton,31,2,102.16,47.22,106.68,-30.0,-10.0,-2.0,-39.0,-41.0,15.0,6522,166,2,0.004753143207605029,0.00030665440049064706,0.75,0.75,0.25
2020-07-09,Acton,33,2,105.36,47.62,110.24,-29.0,-9.0,-5.0,-40.0,-41.0,16.0,6522,166,2,0.005059797608095676,0.00030665440049064706,0.75,0.25,0.75
2020-07-10,Acton,33,0,117.34,50.36,122.4,-32.0,-8.0,-8.0,-40.0,-40.0,16.0,6522,166,2,0.005059797608095676,0.0,0.25,0.75,0.75
2020-07-11,Acton,34,1,108.61,43.58,123.69,-35.0,-8.0,-20.0,-37.0,-20.0,10.0,6522,166,2,0.005213124808341,0.00015332720024532353,0.75,0.75,0.75
2020-07-12,Acton,34,0,89.72,38.63,99.92,-34.0,-12.0,-9.0,-40.0,-21.0,8.0,6522,166,2,0.005213124808341,0.0,0.75,0.75,0.5
2020-07-13,Acton,34,0,99.32,48.12,105.51,-28.0,-11.0,-8.0,-41.0,-41.0,14.0,6522,166,2,0.005213124808341,0.0,0.75,0.5,0.0
2020-07-14,Acton,34,0,99.93,46.43,105.27,-30.0,-10.0,-4.0,-41.0,-42.0,15.0,6522,166,2,0.005213124808341,0.0,0.5,0.0,0.0
2020-07-15,Acton,37,3,101.23,45.44,105.17,-31.0,-11.0,-4.0,-41.0,-42.0,16.0,6522,166,2,0.00567310640907697,0.00045998160073597056,0.0,0.0,0.0
2020-07-16,Acton,37,0,103.1,44.65,108.16,-32.0,-11.0,-5.0,-42.0,-42.0,16.0,6522,166,2,0.00567310640907697,0.0,0.0,0.0,0.0
2020-07-17,Acton,37,0,115.66,46.56,122.24,-33.0,-10.0,-5.0,-41.0,-41.0,16.0,6522,166,2,0.00567310640907697,0.0,0.0,0.0,0.0
2020-07-18,Acton,37,0,108.57,41.14,123.87,-36.0,-9.0,-15.0,-37.0,-22.0,10.0,6522,166,2,0.00567310640907697,0.0,0.0,0.0,0.0
2020-07-19,Acton,38,1,89.04,36.33,98.2,-35.0,-13.0,-4.0,-40.0,-23.0,8.0,6522,166,2,0.005826433609322294,0.00015332720024532353,0.0,0.0,0.5
2020-07-20,Acton,40,2,98.78,46.0,104.27,-31.0,-13.0,-2.0,-41.0,-42.0,14.0,6522,166,2,0.0061330880098129405,0.00030665440049064706,0.0,0.5,1.0
2020-07-21,Acton,40,0,101.53,45.83,106.4,-31.0,-12.0,-1.0,-41.0,-43.0,15.0,6522,166,2,0.0061330880098129405,0.0,0.5,1.0,1.0
2020-07-22,Acton,40,0,103.21,45.57,106.65,-31.0,-12.0,-2.0,-42.0,-42.0,15.0,6522,166,2,0.0061330880098129405,0.0,1.0,1.0,1.25
2020-07-23,Acton,40,0,105.03,44.31,108.99,-32.0,-12.0,-4.0,-42.0,-42.0,16.0,6522,166,2,0.0061330880098129405,0.0,1.0,1.25,0.75
2020-07-24,Acton,40,0,118.49,47.65,123.08,-33.0,-11.0,-6.0,-41.0,-40.0,16.0,6522,166,2,0.0061330880098129405,0.0,1.25,0.75,0.25
2020-07-25,Acton,40,0,110.26,40.83,126.5,-35.0,-10.0,-13.0,-37.0,-22.0,9.0,6522,166,2,0.0061330880098129405,0.0,0.75,0.25,0.5
2020-07-26,Acton,40,0,92.04,37.3,100.84,-34.0,-14.0,-2.0,-39.0,-23.0,8.0,6522,166,2,0.0061330880098129405,0.0,0.25,0.5,1.25
2020-07-27,Acton,40,0,99.56,46.64,104.9,-30.0,-14.0,-4.0,-41.0,-42.0,14.0,6522,166,2,0.0061330880098129405,0.0,0.5,1.25,1.5
2020-07-28,Acton,40,0,102.77,46.24,107.93,-31.0,-13.0,-2.0,-41.0,-42.0,15.0,6522,166,2,0.0061330880098129405,0.0,1.25,1.5,2.0
2020-07-29,Acton,40,0,105.6,47.67,109.43,-31.0,-13.0,-2.0,-41.0,-42.0,15.0,6522,166,2,0.0061330880098129405,0.0,1.5,2.0,0.0
2020-07-30,Acton,42,2,109.82,46.04,111.63,-32.0,-12.0,-6.0,-41.0,-43.0,15.0,6522,166,2,0.006439742410303588,0.00030665440049064706,2.0,0.0,0.0
2020-07-31,Acton,44,2,124.8,49.42,127.5,-32.0,-10.0,-4.0,-39.0,-41.0,15.0,6522,166,2,0.006746396810794235,0.00030665440049064706,0.0,0.0,0.0
2020-08-01,Acton,44,0,116.76,42.81,132.95,-35.0,-7.0,-14.0,-35.0,-22.0,9.0,6522,166,2,0.006746396810794235,0.0,0.0,0.0,0.0
2020-08-02,Acton,45,1,95.16,38.03,105.03,-33.0,-12.0,-3.0,-37.0,-23.0,8.0,6522,166,2,0.0068997240110395585,0.00015332720024532353,0.0,0.0,0.0
2020-08-03,Acton,45,0,107.79,48.82,110.12,-28.0,-11.0,-2.0,-39.0,-41.0,13.0,6522,166,2,0.0068997240110395585,0.0,0.0,0.0,0.0
2020-08-04,Acton,45,0,107.59,48.02,110.84,-29.0,-10.0,0.0,-39.0,-42.0,14.0,6522,166,2,0.0068997240110395585,0.0,0.0,0.0,0.0
2020-08-05,Acton,46,1,108.24,48.72,112.06,-29.0,-11.0,0.0,-39.0,-42.0,14.0,6522,166,2,0.007053051211284882,0.00015332720024532353,0.0,0.0,0.0
2020-08-06,Acton,50,4,110.75,47.89,115.52,-30.0,-11.0,-1.0,-39.0,-42.0,15.0,6522,166,2,0.007666360012266176,0.0006133088009812941,0.0,0.0,0.0
2020-08-07,Acton,51,1,125.32,49.93,131.55,-31.0,-10.0,-2.0,-38.0,-41.0,15.0,6522,166,2,0.0078196872125115,0.00015332720024532353,0.0,0.0,0.0
2020-08-08,Acton,53,2,117.6,43.23,137.38,-34.0,-9.0,-10.0,-35.0,-22.0,9.0,6522,166,2,0.008126341613002146,0.00030665440049064706,0.0,0.0,0.0
2020-07-01,Agoura Hills,61,3,104.51,47.38,105.97,-26.0,-9.0,-4.0,-37.0,-40.0,14.0,20324,2495,2,0.003001377681558748,0.0001476087384373155,1.75,1.25,2.0
2020-07-02,Agoura Hills,62,1,111.16,46.93,111.07,-25.0,-3.0,-3.0,-36.0,-42.0,14.0,20324,2495,2,0.0030505805943711866,4.92029128124385e-05,1.25,2.0,3.0
2020-07-06,Agoura Hills,65,3,96.69,47.33,101.87,-29.0,-11.0,-6.0,-40.0,-42.0,14.0,20324,2495,2,0.0031981893328085023,0.0001476087384373155,2.0,3.0,3.25
2020-07-07,Agoura Hills,68,3,100.47,47.16,105.67,-29.0,-9.0,-3.0,-38.0,-42.0,15.0,20324,2495,2,0.003345798071245818,0.0001476087384373155,3.0,3.25,2.75
2020-07-08,Agoura Hills,69,1,102.16,47.22,106.68,-30.0,-10.0,-2.0,-39.0,-41.0,15.0,20324,2495,2,0.0033950009840582563,4.92029128124385e-05,3.25,2.75,2.0
2020-07-09,Agoura Hills,69,0,105.36,47.62,110.24,-29.0,-9.0,-5.0,-40.0,-41.0,16.0,20324,2495,2,0.0033950009840582563,0.0,2.75,2.0,0.75
2020-07-10,Agoura Hills,73,4,117.34,50.36,122.4,-32.0,-8.0,-8.0,-40.0,-40.0,16.0,20324,2495,2,0.0035918126353080104,0.000196811651249754,2.0,0.75,0.25
2020-07-11,Agoura Hills,73,0,108.61,43.58,123.69,-35.0,-8.0,-20.0,-37.0,-20.0,10.0,20324,2495,2,0.0035918126353080104,0.0,0.75,0.25,0.75
2020-07-12,Agoura Hills,74,1,89.72,38.63,99.92,-34.0,-12.0,-9.0,-40.0,-21.0,8.0,20324,2495,2,0.003641015548120449,4.92029128124385e-05,0.25,0.75,1.75
2020-07-13,Agoura Hills,76,2,99.32,48.12,105.51,-28.0,-11.0,-8.0,-41.0,-41.0,14.0,20324,2495,2,0.0037394213737453256,9.8405825624877e-05,0.75,1.75,2.25
2020-07-14,Agoura Hills,78,2,99.93,46.43,105.27,-30.0,-10.0,-4.0,-41.0,-42.0,15.0,20324,2495,2,0.003837827199370203,9.8405825624877e-05,1.75,2.25,2.25
2020-07-15,Agoura Hills,81,3,101.23,45.44,105.17,-31.0,-11.0,-4.0,-41.0,-42.0,16.0,20324,2495,2,0.003985435937807518,0.0001476087384373155,2.25,2.25,2.0
2020-07-16,Agoura Hills,86,5,103.1,44.65,108.16,-32.0,-11.0,-5.0,-42.0,-42.0,16.0,20324,2495,2,0.004231450501869711,0.0002460145640621925,2.25,2.0,1.0
2020-07-17,Agoura Hills,89,3,115.66,46.56,122.24,-33.0,-10.0,-5.0,-41.0,-41.0,16.0,20324,2495,2,0.004379059240307026,0.0001476087384373155,2.0,1.0,0.75
2020-07-18,Agoura Hills,89,0,108.57,41.14,123.87,-36.0,-9.0,-15.0,-37.0,-22.0,10.0,20324,2495,2,0.004379059240307026,0.0,1.0,0.75,2.25
2020-07-19,Agoura Hills,89,0,89.04,36.33,98.2,-35.0,-13.0,-4.0,-40.0,-23.0,8.0,20324,2495,2,0.004379059240307026,0.0,0.75,2.25,2.5
2020-07-20,Agoura Hills,89,0,98.78,46.0,104.27,-31.0,-13.0,-2.0,-41.0,-42.0,14.0,20324,2495,2,0.004379059240307026,0.0,2.25,2.5,3.0
